screen_name,mentions_screen_name
Yooreum_,CBIpictures
borahaenika,BTStranslation_
MinYshoppe,NA
euphoriakoo99,BTStranslation_
unamenotvalid,CBIpictures
wdeobo,NA
vberryjkay,indomyfess
Mimina18969464,muhly1204
Mimina18969464,jinbaragi1204
Mimina18969464,BTS_twt
Mimina18969464,BTS_twt
vanteseaaa,BTS_twt
thirteennjj,CBIpictures
Radityhaha,CGV_ID
yourseokjinnie,BTS_twt
yourseokjinnie,BTS_twt
yourseokjinnie,BTS_twt
LifeGoesWithBTS,Univers_Bangtan
LifeGoesWithBTS,BTS_twt
awoooaw,CBIpictures
awoooaw,CGV_ID
zrfnxcy,chizikook_
joenyll2,laviedenoona
joenyll2,CGV_ID
joenyll2,CBIpictures
yuccb0lala,BTS_twt
yuccb0lala,BTS_twt
crisan_candy,IndomyLetsVote
ftkseokjin,CGV_ID
ftkseokjin,CBIpictures
Taebun8,CBIpictures
jkuniverse97,BTSNewsBrasil
jkuniverse97,BTS_twt
dpuniverse_bts,shane_oppa
Arcymera,BTS_twt
Arcymera,BTS_twt
Arcymera,BTS_twt
Arcymera,BTS_twt
Arcymera,BTS_twt
Arcymera,BTS_twt
Arcymera,intanapsri
Arcymera,BTS_twt
Arcymera,BTS_twt
bangtanjoahjoah,CBIpictures
Gista_V,CGV_ID
JkSaranghae1907,BTS_twt
koovgirls,Univers_Bangtan
koovgirls,BTS_twt
iceamericainoo_,NA
yoonji_pt1,Miftaaaahhh_
yoonji_pt1,BTS_twt
yoonji_pt1,BtsarmyPeduli
yoonji_pt1,Miftaaaahhh_
yoonji_pt1,BTS_twt
adorkablejoon,daridafarida
adorkablejoon,BTS_twt
claoudayy,CGV_ID
lalabcd_,laviedenoona
lalabcd_,BTS_twt
lalabcd_,NA
agustdpixie,BTS_twt
kimjintta4,mylvhb
kimjintta4,BTS_twt
kimjintta4,abidaoraf
f4iryoon__,CGV_ID
eunbbyss,CGV_ID
ditangkis,NA
MoonTaecheeks_7,CBIpictures
Curhatansuka,BTS_twt
Curhatansuka,Deepflow39
Curhatansuka,BTS_twt
Curhatansuka,BTS_twt
Curhatansuka,BTS_twt
Curhatansuka,caseokmin
Curhatansuka,BTS_twt
Curhatansuka,gfkatehaaa_
Curhatansuka,BTS_twt
Curhatansuka,caseokmin
Curhatansuka,BTS_twt
SUNNSNO,NA
jjkluvv7,littleejung
jjkluvv7,BTS_twt
jjkluvv7,_peuupeuuu
jjkluvv7,BTS_twt
jjkluvv7,BTS_twt
jjkluvv7,BTS_twt
jjkluvv7,_peuupeuuu
jjkluvv7,BTS_twt
jjkluvv7,BTS_twt
jjkluvv7,BTS_twt
jjkluvv7,BTS_twt
woniebabies,BTS_twt
woniebabies,ENHYPEN_members
woniebabies,treasuremembers
jjiensuu,NA
vmincout,Univers_Bangtan
vmincout,BTS_twt
061313_OT7BTS,BTStranslation_
lovekthpjs,BTS_twt
lachibbolala,BtsarmyPeduli
presidepn,BTS_twt
Miftaaaahhh_,yoonji_pt1
Miftaaaahhh_,BTS_twt
Miftaaaahhh_,yoonji_pt1
Miftaaaahhh_,BTS_twt
BTSARMY41946830,BTStranslation_
minf4ever19,laviedenoona
minf4ever19,laviedenoona
cesSssS_0907,BTS_twt
redseok5,Univers_Bangtan
redseok5,BTS_twt
taenchanter,CBIpictures
voojwankoo,BTS_twt
voojwankoo,thisissasaaa
voojwankoo,BTS_twt
voojwankoo,thisissasaaa
voojwankoo,BTS_twt
voojwankoo,thisissasaaa
voojwankoo,BTS_twt
voojwankoo,thisissasaaa
Rahmaaa94,CGV_ID
vante1kth,NA
nitaaaaaa_e,CBIpictures
nitaaaaaa_e,CGV_ID
lkhaetae,chizikook_
lkhaetae,CGV_ID
Vhychim07,BTS_twt
bbrightvk_,BTS_twt
bbrightvk_,BTS_twt
bbrightvk_,BTS_twt
bbrightvk_,BTS_twt
captardis,BTSNewsBrasil
captardis,BTS_twt
MinDesiyaa,BTS_twt
BTS_myuniverse9,NA
Ssgmin95lv,gbrlje
Ssgmin95lv,BTS_twt
Ssgmin95lv,_peuupeuuu
Ssgmin95lv,BTS_twt
jajae0616,parkjimw
jajae0616,BTS_twt
dynananakook,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
cimmytiny,BTS_twt
goldencflm,BTS_twt
gbrlje,Ssgmin95lv
gbrlje,BTS_twt
gbrlje,laviedenoona
gbrlje,BTS_twt
gbrlje,Aiseegrl
gbrlje,BTS_twt
gbrlje,lasyimolala
gbrlje,BTS_twt
gbrlje,BTS_twt
jkoocartz,jkoocartz
Yunkiminyoon,jiminlapar
Yunkiminyoon,Yunkiminyoon
Yunkiminyoon,BTS_twt
Gashavriel,pacarbighit
Gashavriel,NA
Gashavriel,NA
yjaetae,CGV_ID
yjaetae,CBIpictures
BEARANNV,CGV_ID
itsmy_evaaa,BTS_twt
itsmy_evaaa,secondftrf
vousmoinoun,tokopedia
putluviey,7btsupdates
putluviey,BTStranslation_
Bangtan__Clown,BTS_twt
