"screen_name","reply_to_screen_name"
"Yooreum_",NA
"borahaenika",NA
"MinYshoppe",NA
"euphoriakoo99",NA
"unamenotvalid",NA
"wdeobo","wdeobo"
"vberryjkay",NA
"Mimina18969464","muhly1204"
"vanteseaaa",NA
"thirteennjj",NA
"Radityhaha",NA
"yourseokjinnie","BTS_twt"
"yourseokjinnie","BTS_twt"
"yourseokjinnie",NA
"LifeGoesWithBTS",NA
"awoooaw",NA
"awoooaw",NA
"zrfnxcy",NA
"joenyll2",NA
"joenyll2",NA
"joenyll2",NA
"yuccb0lala","BTS_twt"
"yuccb0lala","BTS_twt"
"crisan_candy",NA
"ftkseokjin",NA
"ftkseokjin",NA
"Taebun8",NA
"jkuniverse97",NA
"dpuniverse_bts","shane_oppa"
"Arcymera","BTS_twt"
"Arcymera","BTS_twt"
"Arcymera","BTS_twt"
"Arcymera","BTS_twt"
"Arcymera","BTS_twt"
"Arcymera","BTS_twt"
"Arcymera","BTS_twt"
"Arcymera","BTS_twt"
"bangtanjoahjoah",NA
"Gista_V",NA
"JkSaranghae1907",NA
"koovgirls",NA
"iceamericainoo_",NA
"yoonji_pt1","Miftaaaahhh_"
"yoonji_pt1",NA
"yoonji_pt1","Miftaaaahhh_"
"adorkablejoon","daridafarida"
"claoudayy",NA
"lalabcd_",NA
"lalabcd_",NA
"agustdpixie","BTS_twt"
"kimjintta4",NA
"kimjintta4",NA
"f4iryoon__",NA
"eunbbyss",NA
"ditangkis",NA
"MoonTaecheeks_7",NA
"Curhatansuka","BTS_twt"
"Curhatansuka","BTS_twt"
"Curhatansuka","BTS_twt"
"Curhatansuka","BTS_twt"
"Curhatansuka","caseokmin"
"Curhatansuka","gfkatehaaa_"
"Curhatansuka","caseokmin"
"SUNNSNO",NA
"jjkluvv7","littleejung"
"jjkluvv7","_peuupeuuu"
"jjkluvv7","BTS_twt"
"jjkluvv7","BTS_twt"
"jjkluvv7","BTS_twt"
"jjkluvv7","BTS_twt"
"jjkluvv7","BTS_twt"
"jjkluvv7","BTS_twt"
"woniebabies",NA
"jjiensuu",NA
"vmincout",NA
"061313_OT7BTS",NA
"lovekthpjs","BTS_twt"
"lachibbolala",NA
"presidepn","BTS_twt"
"Miftaaaahhh_","yoonji_pt1"
"Miftaaaahhh_","yoonji_pt1"
"BTSARMY41946830",NA
"minf4ever19","laviedenoona"
"minf4ever19",NA
"cesSssS_0907","BTS_twt"
"redseok5",NA
"taenchanter",NA
"voojwankoo","BTS_twt"
"voojwankoo","BTS_twt"
"voojwankoo","BTS_twt"
"voojwankoo","BTS_twt"
"Rahmaaa94",NA
"vante1kth","vante1kth"
"nitaaaaaa_e",NA
"nitaaaaaa_e",NA
"lkhaetae",NA
"lkhaetae",NA
"Vhychim07","BTS_twt"
"bbrightvk_","BTS_twt"
"bbrightvk_","BTS_twt"
"bbrightvk_","BTS_twt"
"bbrightvk_","BTS_twt"
"captardis",NA
"MinDesiyaa",NA
"BTS_myuniverse9",NA
"Ssgmin95lv","gbrlje"
"Ssgmin95lv","_peuupeuuu"
"jajae0616","parkjimw"
"dynananakook","dynananakook"
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"goldencflm","BTS_twt"
"gbrlje","Ssgmin95lv"
"gbrlje","laviedenoona"
"gbrlje","Aiseegrl"
"gbrlje","lasyimolala"
"gbrlje",NA
"jkoocartz",NA
"Yunkiminyoon",NA
"Gashavriel","pacarbighit"
"Gashavriel",NA
"Gashavriel",NA
"yjaetae",NA
"yjaetae",NA
"BEARANNV",NA
"itsmy_evaaa","BTS_twt"
"vousmoinoun","tokopedia"
"putluviey",NA
"putluviey",NA
"Bangtan__Clown","BTS_twt"
"hoseoklipp",NA
"lalajeykey",NA
"lalajeykey",NA
"Kanjengirene_","bwatlokin"
"BTS_co_id",NA
"BTS_co_id",NA
"ninaluvthv","faeepilogue"
"dogeon_namjoon","7btsupdates"
"icasazy",NA
"AnusreeChakrabo",NA
"yongimingirls",NA
"koyankita","BTShObic"
"mauuliburan","pacarbighit"
"mauuliburan","pasarbighit"
"thvtaeee_",NA
"bbxayi","199XKOKO"
"serxn_",NA
"Aiseegrl","laviedenoona"
"Aiseegrl","gbrlje"
"95GU1TAR","JMG0GH"
"nwinterbear","BTS_twt"
"luvstzugk","BTS_twt"
"luvstzugk","BTS_twt"
