"screen_name","retweet_screen_name"
"Yooreum_","CBIpictures"
"borahaenika","BTStranslation_"
"MinYshoppe",NA
"euphoriakoo99","BTStranslation_"
"unamenotvalid","CBIpictures"
"wdeobo",NA
"vberryjkay","indomyfess"
"Mimina18969464",NA
"vanteseaaa",NA
"thirteennjj","CBIpictures"
"Radityhaha","CGV_ID"
"yourseokjinnie",NA
"yourseokjinnie",NA
"yourseokjinnie",NA
"LifeGoesWithBTS","Univers_Bangtan"
"awoooaw","CBIpictures"
"awoooaw","CGV_ID"
"zrfnxcy","chizikook_"
"joenyll2","laviedenoona"
"joenyll2","CGV_ID"
"joenyll2","CBIpictures"
"yuccb0lala",NA
"yuccb0lala",NA
"crisan_candy","IndomyLetsVote"
"ftkseokjin","CGV_ID"
"ftkseokjin","CBIpictures"
"Taebun8","CBIpictures"
"jkuniverse97","BTSNewsBrasil"
"dpuniverse_bts",NA
"Arcymera",NA
"Arcymera",NA
"Arcymera",NA
"Arcymera",NA
"Arcymera",NA
"Arcymera",NA
"Arcymera",NA
"Arcymera",NA
"bangtanjoahjoah","CBIpictures"
"Gista_V","CGV_ID"
"JkSaranghae1907",NA
"koovgirls","Univers_Bangtan"
"iceamericainoo_",NA
"yoonji_pt1",NA
"yoonji_pt1","BtsarmyPeduli"
"yoonji_pt1",NA
"adorkablejoon",NA
"claoudayy","CGV_ID"
"lalabcd_","laviedenoona"
"lalabcd_",NA
"agustdpixie",NA
"kimjintta4","mylvhb"
"kimjintta4","abidaoraf"
"f4iryoon__","CGV_ID"
"eunbbyss","CGV_ID"
"ditangkis",NA
"MoonTaecheeks_7","CBIpictures"
"Curhatansuka",NA
"Curhatansuka",NA
"Curhatansuka",NA
"Curhatansuka",NA
"Curhatansuka",NA
"Curhatansuka",NA
"Curhatansuka",NA
"SUNNSNO",NA
"jjkluvv7",NA
"jjkluvv7",NA
"jjkluvv7",NA
"jjkluvv7",NA
"jjkluvv7",NA
"jjkluvv7",NA
"jjkluvv7",NA
"jjkluvv7",NA
"woniebabies",NA
"jjiensuu",NA
"vmincout","Univers_Bangtan"
"061313_OT7BTS","BTStranslation_"
"lovekthpjs",NA
"lachibbolala","BtsarmyPeduli"
"presidepn",NA
"Miftaaaahhh_",NA
"Miftaaaahhh_",NA
"BTSARMY41946830","BTStranslation_"
"minf4ever19",NA
"minf4ever19","laviedenoona"
"cesSssS_0907",NA
"redseok5","Univers_Bangtan"
"taenchanter","CBIpictures"
"voojwankoo",NA
"voojwankoo",NA
"voojwankoo",NA
"voojwankoo",NA
"Rahmaaa94","CGV_ID"
"vante1kth",NA
"nitaaaaaa_e","CBIpictures"
"nitaaaaaa_e","CGV_ID"
"lkhaetae","chizikook_"
"lkhaetae","CGV_ID"
"Vhychim07",NA
"bbrightvk_",NA
"bbrightvk_",NA
"bbrightvk_",NA
"bbrightvk_",NA
"captardis","BTSNewsBrasil"
"MinDesiyaa",NA
"BTS_myuniverse9",NA
"Ssgmin95lv",NA
"Ssgmin95lv",NA
"jajae0616",NA
"dynananakook",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"cimmytiny",NA
"goldencflm",NA
"gbrlje",NA
"gbrlje",NA
"gbrlje",NA
"gbrlje",NA
"gbrlje",NA
"jkoocartz","jkoocartz"
"Yunkiminyoon","jiminlapar"
"Gashavriel",NA
"Gashavriel",NA
"Gashavriel",NA
"yjaetae","CGV_ID"
"yjaetae","CBIpictures"
"BEARANNV","CGV_ID"
"itsmy_evaaa",NA
"vousmoinoun",NA
"putluviey","7btsupdates"
"putluviey","BTStranslation_"
"Bangtan__Clown",NA
"hoseoklipp","Univers_Bangtan"
"lalajeykey","CBIpictures"
"lalajeykey","CGV_ID"
"Kanjengirene_",NA
"BTS_co_id","CBIpictures"
"BTS_co_id","CBIpictures"
"ninaluvthv",NA
"dogeon_namjoon",NA
"icasazy","CGV_ID"
"AnusreeChakrabo","BTStranslation_"
"yongimingirls","CGV_ID"
"koyankita",NA
"mauuliburan",NA
"mauuliburan",NA
"thvtaeee_","CGV_ID"
"bbxayi",NA
"serxn_","BTStranslation_"
"Aiseegrl",NA
"Aiseegrl",NA
"95GU1TAR",NA
"nwinterbear",NA
"luvstzugk",NA
"luvstzugk",NA
"JeanettaCSheehy","BTStranslation_"
"yooniebabies","CBIpictures"
"yooniebabies","CGV_ID"
"jjkjeya",NA
"jjkjeya",NA
"KNkhairunnisa","CGV_ID"
"taelkoom","CGV_ID"
"l0velynamu","BTStranslation_"
"honeybiniejinie",NA
"parkjimw",NA
"dagangkr",NA
"dagangkr",NA
"indomyfess",NA
"jiminewifey",NA
"mgslviaa","CBIpictures"
"Pjihbgtn","mcyxjm"
"arianti_nuphi","CBIpictures"
"arianti_nuphi","CGV_ID"
"starshope_","BTStranslation_"
"bbyboymnie",NA
"bbyboymnie",NA
"kiaamnie","CGV_ID"
"haeboon_",NA
"mikrokosmoszx","Univers_Bangtan"
"sharsyaap",NA
"sharsyaap",NA
"gummybear__gmmy","CBIpictures"
"kenwnga",NA
"justinsseagull_",NA
"fleureuphorie",NA
